,Unnamed: 0,Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,Lowest distortion
0,0,BaAlO3,Ba,Al,False,-,-,1.61,1.35,0.54,0.89,1.61,2.942998888,1.892894405,-2.207464286,1.097108975,-,0.385714286,cubic
1,1,BaCoO3,Ba,Co,False,2,4,1.61,1.35,0.53,0.89,1.88,2.942998888,1.930310969,-2.030821429,1.102793477,4.109427366,0.378571429,orthorhombic
2,2,BaCrO3,Ba,Cr,False,2,4,1.61,1.35,0.55,0.89,1.66,2.942998888,1.960053288,-2.200107143,1.091482775,3.996252933,0.392857143,orthorhombic
3,3,BaCuO3,Ba,Cu,False,-,-,1.61,1.35,0.68,0.89,1.9,2.942998888,2.005573846,-2.340214286,1.023265102,-,0.485714286,rhombohedral
4,4,BaFeO3,Ba,Fe,False,2,4,1.61,1.35,0.59,0.89,1.83,2.942998888,1.999521816,-2.187928571,1.069543423,3.809485555,0.421428571,cubic
5,5,BaGaO3,Ba,Ga,False,-,-,1.61,1.35,0.62,0.89,1.81,2.942998888,1.974643898,-2.263607143,1.053659115,-,0.442857143,cubic
6,6,BaHfO3,Ba,Hf,True,2,4,1.61,1.35,0.71,0.89,1.3,2.942998888,2.027412322,-2.749392857,1.008716309,3.511192926,0.507142857,cubic
7,7,BaIrO3,Ba,Ir,False,2,4,1.61,1.35,0.63,0.89,2.2,2.942998888,2.009082787,-2.06075,1.048468676,3.669602059,0.45,orthorhombic
8,8,BaMnO3,Ba,Mn,False,2,4,1.61,1.35,0.53,0.89,1.55,2.942998888,2.16999357,-2.220571429,1.102793477,4.109427366,0.378571429,orthorhombic
9,9,BaMoO3,Ba,Mo,True,2,4,1.61,1.35,0.65,0.89,2.16,2.942998888,1.7893,-2.126535714,1.038239713,3.615536105,0.464285714,cubic
10,10,BaNbO3,Ba,Nb,True,2,4,1.61,1.35,0.68,0.89,1.6,2.942998888,1.955055241,-2.512714286,1.023265102,3.552862825,0.485714286,cubic
11,11,BaNiO3,Ba,Ni,False,2,4,1.61,1.35,0.48,0.89,1.91,2.942998888,2.103725488,-1.906607143,1.132123091,4.459812214,0.342857143,orthorhombic
12,12,BaOsO3,Ba,Os,False,0,0,1.61,1.35,0.57,0.89,2.2,2.942998888,1.954921624,-1.932392857,1.080401732,-,0.407142857,cubic
13,13,BaPdO3,Ba,Pd,False,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.04250519,-2.039357143,1.053659115,3.700495376,0.442857143,orthorhombic
14,14,BaPtO3,Ba,Pt,False,0,0,1.61,1.35,0.67,0.89,2.28,2.942998888,2.64390067,-2.100321429,1.028208411,-,0.478571429,orthorhombic
15,15,BaReO3,Ba,Re,False,2,4,1.61,1.35,0.63,0.89,1.9,2.942998888,1.98797081,-2.23325,1.048468676,3.669602059,0.45,cubic
16,16,BaRhO3,Ba,Rh,False,2,4,1.61,1.35,0.6,0.89,2.28,2.942998888,2.001424352,-1.950571429,1.064195706,3.770356148,0.428571429,orthorhombic
17,17,BaRuO3,Ba,Ru,False,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.018753288,-2.039357143,1.053659115,3.700495376,0.442857143,cubic
18,18,BaTaO3,Ba,Ta,False,2,4,1.61,1.35,0.68,0.89,1.5,2.942998888,1.956808277,-2.570214286,1.023265102,3.552862825,0.485714286,cubic
19,19,BaTcO3,Ba,Tc,False,0,0,1.61,1.35,0.6,0.89,1.9,2.942998888,0.0,-2.169071429,1.064195706,-,0.428571429,rhombohedral
20,20,BaTiO3,Ba,Ti,True,2,4,1.61,1.35,0.61,0.89,1.54,2.942998888,1.927848949,-2.397464286,1.0589012,3.734054282,0.435714286,tetragonal
21,21,BaVO3,Ba,V,False,2,4,1.61,1.35,0.58,0.89,1.63,2.942998888,1.758039163,-2.281535714,1.074945157,3.85153481,0.414285714,orthorhombic
22,22,BaYO3,Ba,Y,False,-,-,1.61,1.35,0.9,0.89,1.22,2.942998888,2.235124352,-3.201857143,0.92538757,-,0.642857143,orthorhombic
23,23,BaZnO3,Ba,Zn,False,-,-,1.61,1.35,0.74,0.89,1.65,2.942998888,2.096140752,-2.612321429,0.994575426,-,0.528571429,cubic
24,24,BaZrO3,Ba,Zr,True,2,4,1.61,1.35,0.72,0.89,1.33,2.942998888,2.043777903,-2.753535714,1.003958213,3.501807034,0.514285714,cubic
25,25,CaCoO3,Ca,Co,False,2,4,1.34,1.0,0.53,1.0,1.88,2.648077507,1.930310969,-1.859571429,1.003871803,4.093091878,0.378571429,rhombohedral
26,26,CaCrO3,Ca,Cr,True,2,4,1.34,1.0,0.55,1.0,1.66,2.648077507,1.960053288,-2.006857143,0.993575682,4.017314262,0.392857143,orthorhombic
27,27,CaFeO3,Ca,Fe,False,2,4,1.34,1.0,0.59,1.0,1.83,2.648077507,1.999521816,-2.0095,0.973604312,3.910318678,0.421428571,rhombohedral
28,28,CaMnO3,Ca,Mn,True,2,4,1.34,1.0,0.53,1.0,1.55,2.648077507,2.16999357,-2.0175,1.003871803,4.093091878,0.378571429,tetragonal
29,29,CaNiO3,Ca,Ni,False,2,4,1.34,1.0,0.48,1.0,1.91,2.648077507,2.103725488,-1.740214286,1.030570522,4.355126028,0.342857143,rhombohedral
30,30,CaTiO3,Ca,Ti,True,2,4,1.34,1.0,0.61,1.0,1.54,2.648077507,1.927848949,-2.190285714,0.963916707,3.877842825,0.435714286,orthorhombic
31,31,CaVO3,Ca,V,True,2,4,1.34,1.0,0.58,1.0,1.63,2.648077507,1.758039163,-2.084214286,0.978521505,3.931714492,0.414285714,orthorhombic
32,32,DyFeO3,Dy,Fe,True,3,3,1.08,0.99,0.65,1.22,1.83,2.550861398,1.999521816,-1.934928571,0.85542674,2.971029231,0.464285714,orthorhombic
33,33,GdFeO3,Gd,Fe,True,3,3,1.11,0.94,0.65,1.2,1.83,2.57181216,1.999521816,-1.956821429,0.865774644,2.727133256,0.464285714,orthorhombic
34,34,HoFeO3,Ho,Fe,True,3,3,1.12,0.9,0.65,1.23,1.83,2.54631216,1.999521816,-1.955607143,0.869223946,2.654159611,0.464285714,orthorhombic
35,35,LaCoO3,La,Co,True,3,3,1.36,1.03,0.61,1.1,1.88,2.689118757,1.930310969,-2.016928571,0.970952595,1.637165916,0.435714286,orthorhombic
36,36,LaCrO3,La,Cr,True,3,3,1.36,1.03,0.62,1.1,1.66,2.689118757,1.960053288,-2.144428571,0.966145899,1.635497257,0.442857143,orthorhombic
37,37,LaFeO3,La,Fe,True,3,3,1.36,1.03,0.65,1.1,1.83,2.689118757,1.999521816,-2.123785714,0.952007179,1.65607887,0.464285714,orthorhombic
38,38,LaGaO3,La,Ga,True,3,3,1.36,1.03,0.62,1.1,1.81,2.689118757,1.974643898,-2.071571429,0.966145899,1.635497257,0.442857143,orthorhombic
39,39,LaMnO3,La,Mn,True,3,3,1.36,1.03,0.65,1.1,1.55,2.689118757,2.16999357,-2.259785714,0.952007179,1.65607887,0.464285714,orthorhombic
40,40,LaNiO3,La,Ni,True,3,3,1.36,1.03,0.6,1.1,1.91,2.689118757,2.103725488,-1.981714286,0.975807358,1.643139289,0.428571429,orthorhombic
41,41,LaScO3,La,Sc,True,3,3,1.36,1.03,0.75,1.1,1.36,2.689118757,2.074614707,-2.5585,0.907727775,2.006961882,0.535714286,orthorhombic
42,42,LaTiO3,La,Ti,True,3,3,1.36,1.03,0.67,1.1,1.54,2.689118757,1.927848949,-2.305928571,0.942809042,1.691073151,0.478571429,orthorhombic
43,43,LaVO3,La,V,True,3,3,1.36,1.03,0.64,1.1,1.63,2.689118757,1.758039163,-2.200285714,0.95667388,1.644966809,0.457142857,orthorhombic
44,44,MgFeO3,Mg,Fe,False,2,4,0.89,0.72,0.59,1.31,1.83,2.401380848,1.999521816,-1.685428571,0.813705793,5.711623841,0.421428571,orthorhombic
45,45,NdFeO3,Nd,Fe,True,3,3,1.27,0.98,0.65,1.14,1.83,2.617633987,1.999521816,-2.06275,0.920963466,1.90502571,0.464285714,orthorhombic
46,46,PrCoO3,Pr,Co,True,3,3,1.18,0.92,0.61,1.13,1.88,2.645083225,1.930310969,-1.910107143,0.9076296,2.090450333,0.435714286,orthorhombic
47,47,PrCrO3,Pr,Cr,True,3,3,1.18,0.92,0.62,1.13,1.66,2.645083225,1.960053288,-2.023357143,0.903136384,2.130219431,0.442857143,orthorhombic
48,48,PrFeO3,Pr,Fe,True,3,3,1.18,0.92,0.65,1.13,1.83,2.645083225,1.999521816,-2.013321429,0.889919754,2.287131426,0.464285714,orthorhombic
49,49,PrGaO3,Pr,Ga,True,3,3,1.18,0.92,0.62,1.13,1.81,2.645083225,1.974643898,-1.960142857,0.903136384,2.130219431,0.442857143,orthorhombic
50,50,PrMnO3,Pr,Mn,True,3,3,1.18,0.92,0.65,1.13,1.55,2.645083225,2.16999357,-2.131321429,0.889919754,2.287131426,0.464285714,orthorhombic
51,51,PrNiO3,Pr,Ni,True,3,3,1.18,0.92,0.6,1.13,1.91,2.645083225,2.103725488,-1.876928571,0.912167748,2.056755661,0.428571429,orthorhombic
52,52,PrScO3,Pr,Sc,True,3,3,1.18,0.92,0.75,1.13,1.36,2.645083225,2.074614707,-2.41675,0.848528137,3.281574739,0.535714286,orthorhombic
53,53,PrTiO3,Pr,Ti,True,3,3,1.18,0.92,0.67,1.13,1.54,2.645083225,1.927848949,-2.176607143,0.881321495,2.424634788,0.478571429,orthorhombic
54,54,PrVO3,Pr,V,True,3,3,1.18,0.92,0.64,1.13,1.63,2.645083225,1.758039163,-2.077071429,0.894282106,2.228421979,0.457142857,orthorhombic
55,55,SmFeO3,Sm,Fe,True,3,3,1.24,0.96,0.65,1.17,1.83,2.611965458,1.999521816,-2.038535714,0.910615562,2.014548224,0.464285714,orthorhombic
56,56,SrCoO3,Sr,Co,True,2,4,1.44,1.18,0.53,0.95,1.88,2.768350558,1.930310969,-1.92475,1.04050946,4.078073714,0.378571429,orthorhombic
57,57,SrFeO3,Sr,Fe,False,2,4,1.44,1.18,0.59,0.95,1.83,2.768350558,1.999521816,-2.077535714,1.009137316,3.843561641,0.421428571,orthorhombic
58,58,SrMnO3,Sr,Mn,True,2,4,1.44,1.18,0.53,0.95,1.55,2.768350558,2.16999357,-2.094464286,1.04050946,4.078073714,0.378571429,orthorhombic
59,59,SrNiO3,Sr,Ni,False,2,4,1.44,1.18,0.48,0.95,1.91,2.768350558,2.103725488,-1.803428571,1.068182584,4.378102026,0.342857143,orthorhombic
60,60,SrTiO3,Sr,Ti,True,2,4,1.44,1.18,0.61,0.95,1.54,2.768350558,1.927848949,-2.269035714,0.999096149,3.791757613,0.435714286,rhombohedral
61,61,SrVO3,Sr,V,True,2,4,1.44,1.18,0.58,0.95,1.63,2.768350558,1.758039163,-2.159214286,1.014233969,3.874183993,0.414285714,orthorhombic
62,62,YCoO3,Y,Co,True,3,3,1.08,0.9,0.61,1.22,1.88,2.566448705,1.930310969,-1.834785714,0.872450158,2.592949714,0.435714286,orthorhombic
63,63,YCrO3,Y,Cr,True,3,3,1.08,0.9,0.62,1.22,1.66,2.566448705,1.960053288,-1.939857143,0.868131098,2.673985573,0.442857143,orthorhombic
64,64,YFeO3,Y,Fe,True,3,3,1.08,0.9,0.65,1.22,1.83,2.566448705,1.999521816,-1.934928571,0.85542674,2.971029231,0.464285714,orthorhombic
65,65,YGaO3,Y,Ga,True,3,3,1.08,0.9,0.62,1.22,1.81,2.566448705,1.974643898,-1.882,0.868131098,2.673985573,0.442857143,orthorhombic
66,66,YMnO3,Y,Mn,True,3,3,1.08,0.9,0.65,1.22,1.55,2.566448705,2.16999357,-2.042928571,0.85542674,2.971029231,0.464285714,orthorhombic
67,67,YNiO3,Y,Ni,True,3,3,1.08,0.9,0.6,1.22,1.91,2.566448705,2.103725488,-1.803,0.876812409,2.520339985,0.428571429,orthorhombic
68,68,YScO3,Y,Sc,True,3,3,1.08,0.9,0.75,1.22,1.36,2.566448705,2.074614707,-2.318357143,0.81563945,4.713866954,0.535714286,orthorhombic
69,69,YTiO3,Y,Ti,True,3,3,1.08,0.9,0.67,1.22,1.54,2.566448705,1.927848949,-2.087214286,0.847161748,3.218228088,0.478571429,orthorhombic
70,70,YVO3,Y,V,True,3,3,1.08,0.9,0.64,1.22,1.63,2.566448705,1.758039163,-1.991857143,0.859620009,2.862641824,0.457142857,orthorhombic
